Website,Domain,Error Code,Redirected URL
http://www.apa.org/about/division/activities/dive-student.pdf  ,www.apa.org,404,
http://www.totaljobs.com/careers-advice/job-profile/finance-jobs/assistant-bank-manager-job-description ,www.totaljobs.com,,
http://www.westerlyccu.com/Documents/Asst%20Branch%20Manager%20Job%20Description%200609.pdf ,www.westerlyccu.com,404,
http://money.usnews.com/careers/best-jobs/business-operations-manager ,money.usnews.com,,
http://money.usnews.com/careers/best-jobs/management-analyst ,money.usnews.com,,
https://www.shrm.org/resourcesandtools/tools-and-samples/job-descriptions/pages/cms_007469.aspx ,www.shrm.org,404,
http://www.marketresearchcareers.com/jdmarketresearchanalyst.aspx ,www.marketresearchcareers.com,404,
http://allhealthcare.monster.com/training/articles/812-career-guide-medical-and-health-services-managers ,allhealthcare.monster.com,404,
http://www.quintcareers.com/pharmaceutical_sales_careers.html ,www.quintcareers.com,,
http://www.snagajob.com/job-descriptions/real-estate-agent/ ,www.snagajob.com,404,
https://www.totaljobs.com/careers-advice/job-profile/HR-jobs/training-and-development-manager-job-description ,www.totaljobs.com,,
http://www.onlinehumanresources.net/human-resources-training-and-development.html ,www.onlinehumanresources.net,405,
https://www.chegg.com/career-center/explore/training-and-development-specialist ,www.chegg.com,403,
http://www.insidejobs.com/careers/public-relations-representative ,www.insidejobs.com,,
http://www.siop.org/guidelines.aspx ,www.siop.org,404,
http://health.usnews.com/health-news/health-wellness/articles/2014/07/07/7-facts-about-child-life-specialists ,health.usnews.com,,
http://www.socialworklicensure.org/articles/social-worker-vs-child-welfare-worker.html ,www.socialworklicensure.org,404,
http://www.easternflorida.edu/community-resources/child-development-centers/parent-resource-library/documents/daunting-but-rewarding-job.pdf ,www.easternflorida.edu,404,
http://www.phoenixservices.org/jobs/professional-parent-job-description ,www.phoenixservices.org,404,
http://emqff.org/services/professionalparents/ ,emqff.org,,
http://www.abpp.org/i4a/pages/index.cfm?pageid=3303 ,www.abpp.org,404,
http://www.apa.org/action/science/counseling/index.aspx ,www.apa.org,404,
http://www.allpsychologycareers.com/career/multi-cultural-counselor.html ,www.allpsychologycareers.com,404,
http://hccnj.com/careers/chaplain-counselor/ ,hccnj.com,,
http://www.nacacnet.org/career-center/Tools/JobDescriptions/Pages/GuidanceCounselor.aspx ,www.nacacnet.org,403,
http://wvde.state.wv.us/counselors/job-description.doc ,wvde.state.wv.us,404,
http://www.glitc.org/forms/employment/vocational-rehabilitation-counselor-03-13.pdf ,www.glitc.org,404,
http://usfweb2.usf.edu/human-resources/pdfs/class-comp/job-codes/1104.pdf ,usfweb2.usf.edu,,
http://www.supportingadvancement.com/employment/job_descriptions/alumni/dir_alumni_relations.htm ,www.supportingadvancement.com,404,
https://www.mdc.edu/hr/Compensation/Full-Time_Job_Descriptions/Validated/2940_Alumni_Relations_Officer.pdf ,www.mdc.edu,401,
http://usfweb2.usf.edu/human-resources/pdfs/class-comp/job-codes/1114.pdf ,usfweb2.usf.edu,,
http://money.usnews.com/careers/best-jobs/preschool-teacher ,money.usnews.com,,
https://www.chegg.com/career-center/explore/training-and-development-specialist ,www.chegg.com,403,
http://www.nacacnet.org/career-center/Tools/JobDescriptions/Pages/TranscriptEvaluator.aspx ,www.nacacnet.org,403,
